sdtname,dtname,stname,number_of_cell_towers
Amarpur,Gomati,TRIPURA,2
Amarwara,Chhindwara,MADHYA PRADESH,8
Amas,Gaya,BIHAR,10
Amb,Una,HIMACHAL PRADESH,95
Ambabhona,Bargarh,ODISHA,5
Ambad,Jalna,MAHARASHTRA,10
Ambadala,Rayagada,ODISHA,2
Ambagarh,Rajnandgaon,CHATTISGARH,1
Ambah,Morena,MADHYA PRADESH,1
Ambajipeta,East Godavari,ANDHRA PRADESH,68
Ambala,Ambala,HARYANA,1124
Ambalappuzha,Alappuzha,KERALA,694
Ambarnath,Thane,MAHARASHTRA,254
Ambasamudram,Tirunelveli,TAMILNADU,149
Ambassa,Dhalai,TRIPURA,4
Ambattur,Thiruvallur,TAMILNADU,3712
Ambegaon,Pune,MAHARASHTRA,125
Ambejogai,Bid,MAHARASHTRA,128
Amber,Jaipur,RAJASTHAN,429
Amberpet,Hyderabad,TELANGANA,711
Ambikapur,Surguja,CHATTISGARH,101
Ambur,Vellore,TAMILNADU,295
Amdabad,Katihar,BIHAR,2
Amdanga,North Twenty Four Parganas,WEST BENGAL,25
Ameerpet,Hyderabad,TELANGANA,780
Amet,Rajsamand,RAJASTHAN,8
Amethi,Amethi,UTTAR PRADESH,52
Amgaon,Gondiya,MAHARASHTRA,2
Amguri,Sivasagar,ASSAM,10
Amirgadh,Banas Kantha,GUJARAT,13
Amla,Betul,MADHYA PRADESH,17
Amlarem,West Jaintia Hills,MEGHALAYA,1
Amloh,Fatehgarh Sahib,PUNJAB,105
Amnour,Saran,BIHAR,4
Amod,Bharuch,GUJARAT,9
Amour,Purnia,BIHAR,4
Amrabad,Mahbubnagar,TELANGANA,13
Amravati,Amravati,MAHARASHTRA,368
Amreli,Amreli,GUJARAT,116
Amritpur,Farrukhabad,UTTAR PRADESH,3
Amritsar -I,Amritsar,PUNJAB,66
Amritsar- II,Amritsar,PUNJAB,768
Amroha,Jyotiba Phule Nagar,UTTAR PRADESH,167
Amruthalur,Guntur,ANDHRA PRADESH,5
Amta - I,Haora,WEST BENGAL,3
Anakapalle,Visakhapatnam,ANDHRA PRADESH,133
Anand,Anand,GUJARAT,988
Anandapuram,Visakhapatnam,ANDHRA PRADESH,33
Anandpur Sahib,Rupnagar,PUNJAB,48
Anantapur,Anantapur,ANDHRA PRADESH,363
Ananthagiri,Visakhapatnam,ANDHRA PRADESH,9
Ananthasagaram,Sri Potti Sriramulu Nellore,ANDHRA PRADESH,7
Anantnag,Anantnag,JAMMU & KASHMIR,30
Anaparthy,East Godavari,ANDHRA PRADESH,24
Andhratharhi,Madhubani,BIHAR,3
Andipatti,Theni,TAMILNADU,62
Andole,Medak,TELANGANA,18
Anekal,Bangalore,KARNATAKA,2181
Angara,Ranchi,JHARKHAND,7
Ani,Kullu,HIMACHAL PRADESH,1
Anjad,Barwani,MADHYA PRADESH,1
Anjangaon Surji,Amravati,MAHARASHTRA,3
Anjar,Kachchh,GUJARAT,72
Anklav,Anand,GUJARAT,66
Anklesvar,Bharuch,GUJARAT,545
Ankola,Uttara Kannada,KARNATAKA,54
Antah,Baran,RAJASTHAN,22
Anugul,Anugul,ODISHA,41
Anumasamudrampeta,Sri Potti Sriramulu Nellore,ANDHRA PRADESH,2
Anumula,Nalgonda,TELANGANA,3
Anupgarh,Ganganagar,RAJASTHAN,14
Anuppur,Anuppur,MADHYA PRADESH,16
Anupshahr,Bulandshahr,UTTAR PRADESH,17
Aonla,Bareilly,UTTAR PRADESH,49
Arakonam,Vellore,TAMILNADU,394
Araku Valley,Visakhapatnam,ANDHRA PRADESH,18
Arambag,Hugli,WEST BENGAL,40
Arang,Raipur,CHATTISGARH,67
Arani,Tiruvannamalai,TAMILNADU,69
Aranthangi,Pudukkottai,TAMILNADU,30
Araria,Araria,BIHAR,47
Aravakurichi,Karur,TAMILNADU,77
Arcot,Vellore,TAMILNADU,106
Ardhapur,Nanded,MAHARASHTRA,38
Areraj,Purba Champaran,BIHAR,6
Ariyalur,Ariyalur,TAMILNADU,41
Arjuni Morgaon,Gondiya,MAHARASHTRA,11
Arkalgud,Hassan,KARNATAKA,80
Arki,Solan,HIMACHAL PRADESH,9
Armori,Gadchiroli,MAHARASHTRA,7
Armur,Nizamabad,TELANGANA,27
Arni,Yavatmal,MAHARASHTRA,4
Aron,Guna,MADHYA PRADESH,4
Arrah,Bhojpur,BIHAR,88
Arsha,Puruliya,WEST BENGAL,10
Arsikere,Hassan,KARNATAKA,85
Aruppukkottai,Virudhunagar,TAMILNADU,93
Arvi,Wardha,MAHARASHTRA,3
Arwal,Arwal,BIHAR,2
Asansol Kulti Township,Paschim Bardhaman,WEST BENGAL,457
Ashoknagar,Ashoknagar,MADHYA PRADESH,20
Ashta,Sehore,MADHYA PRADESH,82
Ashti,Bid,MAHARASHTRA,82
Ashti,Wardha,MAHARASHTRA,4
Asifabad,Kumuram Bheem Asifabad,TELANGANA,5
Asifnagar,Hyderabad,TELANGANA,506
Asind,Bhilwara,RAJASTHAN,5
Aspari,Kurnool,ANDHRA PRADESH,18
Aspur,Dungarpur,RAJASTHAN,2
Assandh,Karnal,HARYANA,5
Asthawan,Nalanda,BIHAR,13
Aswapuram,Bhadradri Kothagudem,TELANGANA,8
Aswaraopeta,Bhadradri Kothagudem,TELANGANA,4
Atchampet,Guntur,ANDHRA PRADESH,2
Atchutapuram,Visakhapatnam,ANDHRA PRADESH,9
Ater,Bhind,MADHYA PRADESH,2
Athagad,Cuttack,ODISHA,5
Athmalgola,Patna,BIHAR,9
Athner,Betul,MADHYA PRADESH,1
Athni,Belagavi,KARNATAKA,37
Atlur,Y.S.R.,ANDHRA PRADESH,1
Atmakur,Anantapur,ANDHRA PRADESH,2
Atmakur,Kurnool,ANDHRA PRADESH,10
Atmakur,Mahbubnagar,TELANGANA,11
Atmakur,Sri Potti Sriramulu Nellore,ANDHRA PRADESH,13
Atmakur,Warangal,TELANGANA,12
Atmakur (M),Yadadri Bhuvanagiri,TELANGANA,14
Atpadi,Sangli,MAHARASHTRA,13
Atreyapuram,East Godavari,ANDHRA PRADESH,67
Atru,Baran,RAJASTHAN,2
Attabira,Bargarh,ODISHA,7
Attili,West Godavari,ANDHRA PRADESH,7
Attur,Dindigul,TAMILNADU,130
Attur,Salem,TAMILNADU,280
Aundha (Nagnath),Hingoli,MAHARASHTRA,30
Aurad,Bidar,KARNATAKA,8
Aurai,Sant Ravidas Nagar (Bhadohi),UTTAR PRADESH,40
Auraiya,Auraiya,UTTAR PRADESH,152
Aurangabad,Aurangabad,BIHAR,34
Aurangabad,Aurangabad,MAHARASHTRA,1498
Ausa,Latur,MAHARASHTRA,11
Ausgram - I,Purba Bardhaman,WEST BENGAL,75
Ausgram - II,Purba Bardhaman,WEST BENGAL,69
Aut,Mandi,HIMACHAL PRADESH,19
Avanashi,Tiruppur,TAMILNADU,453
Avanigadda,Krishna,ANDHRA PRADESH,10
Avudayarkoil,Pudukkottai,TAMILNADU,9
Awantipora,Pulwama,JAMMU & KASHMIR,24
Azamgarh,Azamgarh,UTTAR PRADESH,127
Azamnagar,Katihar,BIHAR,14
Azara,Kamrup Metropolitan,ASSAM,894
B.Kodur,Y.S.R.,ANDHRA PRADESH,1
B.Kothakota,Chittoor,ANDHRA PRADESH,12
BHANJANAGAR,Ganjam,ODISHA,16
BRAHMAPUR SADAR,Ganjam,ODISHA,20
BUGUDA,Ganjam,ODISHA,3
Baba Bakala,Amritsar,PUNJAB,66
Babai,Hoshangabad,MADHYA PRADESH,9
Babra,Amreli,GUJARAT,15
Babulgaon,Yavatmal,MAHARASHTRA,6
Bachannapet,Jangoan,TELANGANA,3
Bachhwara,Begusarai,BIHAR,3
Bada Malhera,Chhatarpur,MADHYA PRADESH,1
Badachana,Jajapur,ODISHA,34
Badamba,Cuttack,ODISHA,1
Badami,Bagalkote,KARNATAKA,26
Badangi,Vizianagaram,ANDHRA PRADESH,2
Badarpur,Karimganj,ASSAM,3
Badarwas,Shivpuri,MADHYA PRADESH,1
Baddi,Solan,HIMACHAL PRADESH,117
Badhra,Charki Dadri,HARYANA,27
Badi,Raisen,MADHYA PRADESH,2
Badlapur,Jaunpur,UTTAR PRADESH,37
Badmal,Jharsuguda,ODISHA,11
Badnagar,Ujjain,MADHYA PRADESH,17
Badnapur,Jalna,MAHARASHTRA,52
Badnawar,Dhar,MADHYA PRADESH,39
Baduria,North Twenty Four Parganas,WEST BENGAL,14
Badvel,Y.S.R.,ANDHRA PRADESH,9
Badwara,Katni,MADHYA PRADESH,3
Bagalkot,Bagalkote,KARNATAKA,183
Bagasara,Amreli,GUJARAT,19
Bagbahra,Mahasamund,CHATTISGARH,4
Bagda,North Twenty Four Parganas,WEST BENGAL,10
Bagepalli,Chikkaballapura,KARNATAKA,27
Bageshwar,Bageshwar,UTTARAKHAND,7
Bagha Purana,Moga,PUNJAB,14
Baghbor,Barpeta,ASSAM,2
Baghmara-Cum-Katras,Dhanbad,JHARKHAND,66
Baghpat,Baghpat,UTTAR PRADESH,162
Bagidora,Banswara,RAJASTHAN,13
Baglan,Nashik,MAHARASHTRA,6
Bagli,Dewas,MADHYA PRADESH,8
Bagmundi,Puruliya,WEST BENGAL,3
Bagnan - I,Haora,WEST BENGAL,85
Bagnan - II,Haora,WEST BENGAL,45
Bagodar,Giridih,JHARKHAND,8
Bagribari (Pt),Dhubri,ASSAM,3
Bah,Agra,UTTAR PRADESH,5
Bahadurgarh,Jhajjar,HARYANA,650
Bahadurpur,Darbhanga,BIHAR,16
Baharagora,Purbi Singhbhum,JHARKHAND,4
Baheri,Bareilly,UTTAR PRADESH,16
Bahoriband,Katni,MADHYA PRADESH,7
Bahour Taluk,Puducherry,PUDUCHERRY,90
Bahraich,Bahraich,UTTAR PRADESH,64
Baihar,Balaghat,MADHYA PRADESH,4
Baijnath,Kangra,HIMACHAL PRADESH,43
Baikunthpur,Gopalganj,BIHAR,3
Baikunthpur,Koriya,CHATTISGARH,13
Baireddipalle,Chittoor,ANDHRA PRADESH,5
Bairgania,Sitamarhi,BIHAR,1
Bairia,Ballia,UTTAR PRADESH,14
Baisi,Purnia,BIHAR,20
Baisinga,Mayurbhanj,ODISHA,3
Bajali (Pt),Barpeta,ASSAM,36
Bajna,Ratlam,MADHYA PRADESH,3
Bajpur,Udham Singh Nagar,UTTARAKHAND,19
Bakavand,Bastar,CHATTISGARH,1
Bakhri,Begusarai,BIHAR,1
Bakhtiarpur,Patna,BIHAR,33
Bakshi Ka Talab,Lucknow,UTTAR PRADESH,111
Balachaur,Shahid Bhagat Singh Nagar,PUNJAB,183
Balagarh,Hugli,WEST BENGAL,18
Balaghat,Balaghat,MADHYA PRADESH,32
Balanagar,Mahbubnagar,TELANGANA,67
Balanagar,Rangareddy,TELANGANA,2706
Balangir,Balangir,ODISHA,27
Balapur,Akola,MAHARASHTRA,34
Balaramgadi Marine,Baleshwar,ODISHA,3
Balarampur,Puruliya,WEST BENGAL,7
Balasinor,Mahisagar,GUJARAT,3
Balayapalle,Sri Potti Sriramulu Nellore,ANDHRA PRADESH,14
Baldeogarh,Tikamgarh,MADHYA PRADESH,1
Baldwara,Mandi,HIMACHAL PRADESH,4
Baleshwar (M),Baleshwar,ODISHA,80
Baleshwar Sadar,Baleshwar,ODISHA,24
Bali,Pali,RAJASTHAN,70
Bali Chowki,Mandi,HIMACHAL PRADESH,1
Balia,Begusarai,BIHAR,9
Balianta,Khordha,ODISHA,9
Baliapur,Dhanbad,JHARKHAND,112
Balichandrapur,Jajapur,ODISHA,3
Baliguda,Kandhamal,ODISHA,1
Balijipeta,Vizianagaram,ANDHRA PRADESH,1
Balipatna,Khordha,ODISHA,5
Balkonda,Nizamabad,TELANGANA,34
Ballabgarh,Faridabad,HARYANA,104
Ballarpur,Chandrapur,MAHARASHTRA,76
Ballia,Ballia,UTTAR PRADESH,152
Ballikurava,Prakasam,ANDHRA PRADESH,10
Bally Jagachha,Haora,WEST BENGAL,316
Balmoor,Mahbubnagar,TELANGANA,6
Balod,Balod,CHATTISGARH,23
Baloda Bazar,Baloda Bazar,CHATTISGARH,4
Balrampur,Balrampur,CHATTISGARH,3
Balrampur,Balrampur,UTTAR PRADESH,24
Balrampur,Katihar,BIHAR,16
Balugaon,Khordha,ODISHA,52
Balurghat,Dakshin Dinajpur,WEST BENGAL,55
Bamangola,Maldah,WEST BENGAL,5
Bamori,Guna,MADHYA PRADESH,1
Bampada,Baleshwar,ODISHA,12
Banaganapalle,Kurnool,ANDHRA PRADESH,6
Banarpal,Anugul,ODISHA,24
Banda,Banda,UTTAR PRADESH,45
Banda,Sagar,MADHYA PRADESH,1
Bandgaon,Pashchimi Singhbhum,JHARKHAND,1
Bandhogarh,Umaria,MADHYA PRADESH,13
Bandi Atmakur,Kurnool,ANDHRA PRADESH,2
Bandipora,Bandipore,JAMMU & KASHMIR,1
Bandlaguda,Hyderabad,TELANGANA,284
Banei,Sundargarh,ODISHA,3
Banekuchi,Nalbari,ASSAM,2
Banera,Bhilwara,RAJASTHAN,16
Bangalore East,Bangalore,KARNATAKA,11532
Bangalore North,Bangalore,KARNATAKA,22090
Bangalore South,Bangalore,KARNATAKA,14770
Bangana,Una,HIMACHAL PRADESH,18
Bangarapet,Kolar,KARNATAKA,177
Bangarupalem,Chittoor,ANDHRA PRADESH,28
Bangomunda,Balangir,ODISHA,1
Baniapur,Saran,BIHAR,1
Banigochha,Nayagarh,ODISHA,2
Banjar,Kullu,HIMACHAL PRADESH,2
Banjaria,Purba Champaran,BIHAR,12
Banka,Banka,BIHAR,16
Bankatwa,Purba Champaran,BIHAR,2
Bankhedi,Hoshangabad,MADHYA PRADESH,5
Banki,Cuttack,ODISHA,9
Bankura - I,Bankura,WEST BENGAL,131
Bankura - II,Bankura,WEST BENGAL,47
Banmankhi,Purnia,BIHAR,20
Bansada,Bhadrak,ODISHA,1
Bansda,Navsari,GUJARAT,21
Bansdih,Ballia,UTTAR PRADESH,5
Bansgaon,Gorakhpur,UTTAR PRADESH,1
Bansi,Siddharthnagar,UTTAR PRADESH,52
Bansihari,Dakshin Dinajpur,WEST BENGAL,4
Bansur,Alwar,RAJASTHAN,5
Banswada,Nizamabad,TELANGANA,27
Banswara,Banswara,RAJASTHAN,27
Bantumilli,Krishna,ANDHRA PRADESH,8
Bantval,Dakshina Kannada,KARNATAKA,362
Bantwaram,Rangareddy,TELANGANA,1
Bapatla,Guntur,ANDHRA PRADESH,114
Bapulapadu,Krishna,ANDHRA PRADESH,80
Bara,Prayagraj,UTTAR PRADESH,12
Barabani,Paschim Bardhaman,WEST BENGAL,6
Barabazar,Puruliya,WEST BENGAL,3
Barachatti,Gaya,BIHAR,8
Baragaon,Sundargarh,ODISHA,6
Barahat,Banka,BIHAR,7
Barahiya,Lakhisarai,BIHAR,14
Baraily,Raisen,MADHYA PRADESH,2
Baramati,Pune,MAHARASHTRA,135
Baramkela,Raigarh,CHATTISGARH,5
Baramulla,Baramula,JAMMU & KASHMIR,50
Baran,Baran,RAJASTHAN,14
Barang,Cuttack,ODISHA,45
Barapali,Bargarh,ODISHA,2
Barara,Ambala,HARYANA,168
Barari,Katihar,BIHAR,3
Barasat - I,North Twenty Four Parganas,WEST BENGAL,294
Barasat - II,North Twenty Four Parganas,WEST BENGAL,208
Barauli,Gopalganj,BIHAR,3
Barauni,Begusarai,BIHAR,40
Baraut,Baghpat,UTTAR PRADESH,38
Barbhag,Nalbari,ASSAM,12
Barbigha,Sheikhpura,BIHAR,6
Barbil,Kendujhar,ODISHA,5
Bardez,North Goa,GOA,1471
Bardoli,Surat,GUJARAT,158
Bareilly,Bareilly,UTTAR PRADESH,612
Bargarh,Bargarh,ODISHA,51
Bargarh Sadar,Bargarh,ODISHA,17
Barh,Patna,BIHAR,26
Barhaj,Deoria,UTTAR PRADESH,15
Barhampur,Buxar,BIHAR,9
Barhara,Bhojpur,BIHAR,1
Barhara,Purnia,BIHAR,5
Barharia,Siwan,BIHAR,2
Barharwa,Sahibganj,JHARKHAND,15
Barhat,Jamui,BIHAR,4
Barhi,Hazaribagh,JHARKHAND,14
Bari,Dhaulpur,RAJASTHAN,2
Bari - Ramachandrapur,Jajapur,ODISHA,1
Bari Sadri,Chittaurgarh,RAJASTHAN,5
Bariarpur,Munger,BIHAR,1
Baripada (M),Mayurbhanj,ODISHA,24
Baripada Sadar,Mayurbhanj,ODISHA,11
Baripada Town,Mayurbhanj,ODISHA,36
Barjora,Bankura,WEST BENGAL,40
Barkatha,Hazaribagh,JHARKHAND,1
Barkot,Debagarh,ODISHA,2
Barmer,Barmer,RAJASTHAN,68
Barnagar (Pt),Baksa,ASSAM,14
Barnagar (Pt),Barpeta,ASSAM,10
Barnala,Barnala,PUNJAB,75
Baroh,Kangra,HIMACHAL PRADESH,6
Barpeta,Barpeta,ASSAM,5
Barrackpur - I,North Twenty Four Parganas,WEST BENGAL,407
Barrackpur - II,North Twenty Four Parganas,WEST BENGAL,2564
Barsahi,Mayurbhanj,ODISHA,4
Barsar,Hamirpur,HIMACHAL PRADESH,32
Barshi,Solapur,MAHARASHTRA,94
Barsoi,Katihar,BIHAR,12
Baruipur,South Twenty Four Parganas,WEST BENGAL,114
Barun,Aurangabad,BIHAR,26
Baruraj (Motipur),Muzaffarpur,BIHAR,2
Barwaha,West Nimar,MADHYA PRADESH,55
Barwala,Botad,GUJARAT,33
Barwani,Barwani,MADHYA PRADESH,14
Basanti,South Twenty Four Parganas,WEST BENGAL,4
Basavakalyan,Bidar,KARNATAKA,31
Basavana Bagevadi,Vijayapura,KARNATAKA,52
Baseri,Dhaulpur,RAJASTHAN,10
Basheerabad,Rangareddy,TELANGANA,7
Bashohli,Kathua,JAMMU & KASHMIR,1
Basirhat - I,North Twenty Four Parganas,WEST BENGAL,36
Basirhat - II,North Twenty Four Parganas,WEST BENGAL,40
Basmath,Hingoli,MAHARASHTRA,22
Basna,Mahasamund,CHATTISGARH,4
Basoda,Vidisha,MADHYA PRADESH,61
Bassi,Jaipur,RAJASTHAN,196
Bassi Pathana,Fatehgarh Sahib,PUNJAB,22
Basta,Baleshwar,ODISHA,11
Bastar,Bastar,CHATTISGARH,1
Basti,Basti,UTTAR PRADESH,125
Baswa,Dausa,RAJASTHAN,93
Batala,Gurdaspur,PUNJAB,93
Bathalapalle,Anantapur,ANDHRA PRADESH,10
Bathinda,Bathinda,PUNJAB,330
Baudh Sadar,Baudh,ODISHA,4
Bausi,Banka,BIHAR,1
Bavda,Kolhapur,MAHARASHTRA,20
Bavla,Ahmadabad,GUJARAT,157
Bawal,Rewari,HARYANA,199
Bawani Khera,Bhiwani,HARYANA,29
Bayad,Aravalli,GUJARAT,14
Bayana,Bharatpur,RAJASTHAN,45
Baytoo,Barmer,RAJASTHAN,7
Beawar,Ajmer,RAJASTHAN,153
Becharaji,Mahesana,GUJARAT,26
Beejoliya,Bhilwara,RAJASTHAN,21
Beerwah,Badgam,JAMMU & KASHMIR,13
Begamganj,Raisen,MADHYA PRADESH,1
Begun,Chittaurgarh,RAJASTHAN,8
Begunia,Khordha,ODISHA,3
Begusarai,Begusarai,BIHAR,79
Behat,Saharanpur,UTTAR PRADESH,40
Behea,Bhojpur,BIHAR,18
Behror,Alwar,RAJASTHAN,279
Bejjanki,Karimnagar,TELANGANA,6
Belaganj,Gaya,BIHAR,4
Beldanga - I,Murshidabad,WEST BENGAL,14
Beldanga - II,Murshidabad,WEST BENGAL,13
Belgaum,Belagavi,KARNATAKA,743
Bellamkonda,Guntur,ANDHRA PRADESH,2
Bellampalle,Adilabad,TELANGANA,49
Bellary,Ballari,KARNATAKA,472
Belpahar,Jharsuguda,ODISHA,14
Beltangadi,Dakshina Kannada,KARNATAKA,120
Belthara Road,Ballia,UTTAR PRADESH,27
Beluguppa,Anantapur,ANDHRA PRADESH,2
Belur,Hassan,KARNATAKA,119
Bemetara,Bametara,CHATTISGARH,2
Ben,Nalanda,BIHAR,1
Bengabad,Giridih,JHARKHAND,22
Bengtol,Bongaigaon,ASSAM,5
Bengtol,Chirang,ASSAM,17
Benipatti,Madhubani,BIHAR,8
Benipur,Darbhanga,BIHAR,2
Beohari,Shahdol,MADHYA PRADESH,1
Berasia,Bhopal,MADHYA PRADESH,2
Berhampore,Murshidabad,WEST BENGAL,231
Beri,Jhajjar,HARYANA,62
Berinag,Pithoragarh,UTTARAKHAND,19
Berla,Bametara,CHATTISGARH,1
Bermo,Bokaro,JHARKHAND,18
Bero,Ranchi,JHARKHAND,2
Bestawaripeta,Prakasam,ANDHRA PRADESH,7
Betanati,Mayurbhanj,ODISHA,1
Bethamcherla,Kurnool,ANDHRA PRADESH,10
Bettiah,Pashchim Champaran,BIHAR,33
Betul,Betul,MADHYA PRADESH,109
Bhabhar,Banas Kantha,GUJARAT,22
Bhabua,Kaimur (Bhabua),BIHAR,2
Bhachau,Kachchh,GUJARAT,87
Bhaderwah,Doda,JAMMU & KASHMIR,3
Bhadesar,Chittaurgarh,RAJASTHAN,7
Bhadgaon,Jalgaon,MAHARASHTRA,9
Bhadohi,Sant Ravidas Nagar (Bhadohi),UTTAR PRADESH,47
Bhadra,Hanumangarh,RAJASTHAN,8
Bhadrak Rural,Bhadrak,ODISHA,54
Bhadravati,Chandrapur,MAHARASHTRA,37
Bhadravati,Shivamogga,KARNATAKA,87
Bhagawangola - I,Murshidabad,WEST BENGAL,13
Bhagawangola - II,Murshidabad,WEST BENGAL,1
Bhagawanpur - I,Purba Medinipur,WEST BENGAL,15
Bhagawanpur - II,Purba Medinipur,WEST BENGAL,12
Bhagwanpur,Begusarai,BIHAR,2
Bhagwanpur,Vaishali,BIHAR,22
Bhainsa,Adilabad,TELANGANA,141
Bhainsdehi,Betul,MADHYA PRADESH,5
Bhairamgarh,Bijapur,CHATTISGARH,1
Bhaiyathan,Surajpur,CHATTISGARH,5
Bhalai,Chamba,HIMACHAL PRADESH,1
Bhalki,Bidar,KARNATAKA,12
Bhalukpong,West Kameng,ARUNACHAL PRADESH,1
Bhandara,Bhandara,MAHARASHTRA,63
Bhandari Pokhari,Bhadrak,ODISHA,4
Bhander,Datia,MADHYA PRADESH,3
Bhangar - I,South Twenty Four Parganas,WEST BENGAL,29
Bhangar - II,South Twenty Four Parganas,WEST BENGAL,31
Bhanoli,"Almora
",UTTARAKHAND,12
Bhanpur,Basti,UTTAR PRADESH,3
Bhanpura,Mandsaur,MADHYA PRADESH,8
Bhanupratappur,Uttar Bastar Kanker,CHATTISGARH,2
Bharari,Bilaspur,HIMACHAL PRADESH,3
Bharatpur,Bharatpur,RAJASTHAN,249
Bharatpur - I,Murshidabad,WEST BENGAL,6
Bharatpur - II,Murshidabad,WEST BENGAL,1
Bharthana,Etawah,UTTAR PRADESH,80
Bharuch,Bharuch,GUJARAT,605
Bharwain,Una,HIMACHAL PRADESH,7
Bhatapara,Baloda Bazar,CHATTISGARH,13
Bhatar,Purba Bardhaman,WEST BENGAL,33
Bhatkal,Uttara Kannada,KARNATAKA,104
Bhatkuli,Amravati,MAHARASHTRA,1
Bhatli,Bargarh,ODISHA,2
Bhatpar Rani,Deoria,UTTAR PRADESH,15
Bhattiprolu,Guntur,ANDHRA PRADESH,15
Bhattiyat,Chamba,HIMACHAL PRADESH,15
Bhatwari,Uttarkashi,UTTARAKHAND,32
Bhavani,Erode,TAMILNADU,98
Bhavnagar,Bhavnagar,GUJARAT,449
Bhavra,Alirajpur,MADHYA PRADESH,6
Bhawanipur,Purnia,BIHAR,10
Bhawnathpur,Garhwa,JHARKHAND,2
Bheemadevarpalle,WARANGAL URBAN,TELANGANA,5
Bheemgal,Nizamabad,TELANGANA,4
Bheemunipatnam,Visakhapatnam,ANDHRA PRADESH,79
Bhesan,Junagadh,GUJARAT,3
Bhikangaon,West Nimar,MADHYA PRADESH,1
Bhikiasain,"Almora
",UTTARAKHAND,2
Bhiknoor,Nizamabad,TELANGANA,45
