sdtname,dtname,stname,number_of_cell_towers
Abdasa,Kachchh,GUJARAT,1
Achalpur,Amravati,MAHARASHTRA,1
Addanki,Prakasam,ANDHRA PRADESH,2
Adoni,Kurnool,ANDHRA PRADESH,1
Adoor,Pathanamthitta,KERALA,2
Agastheeswaram,Kanniyakumari,TAMILNADU,1
Agra,Agra,UTTAR PRADESH,2
Ahmadabad City,Ahmadabad,GUJARAT,2
Ahmadpur,Latur,MAHARASHTRA,1
Ajmer,Ajmer,RAJASTHAN,1
Akhnoor,Jammu,JAMMU & KASHMIR,2
Akola,Akola,MAHARASHTRA,3
Akot,Akola,MAHARASHTRA,1
Alathur,Palakkad,KERALA,1
Algapur,Hailakandi,ASSAM,1
Alibag,Raigarh,MAHARASHTRA,2
Alipurduar - I,Alipurduar,WEST BENGAL,1
Allahabad,Prayagraj,UTTAR PRADESH,1
Alot,Ratlam,MADHYA PRADESH,1
Aluva,Ernakulam,KERALA,4
Alwar,Alwar,RAJASTHAN,1
Amadalavalasa,Srikakulam,ANDHRA PRADESH,1
Amanganj,Panna,MADHYA PRADESH,2
Amarpatan,Satna,MADHYA PRADESH,1
Amb,Una,HIMACHAL PRADESH,2
Ambad,Jalna,MAHARASHTRA,3
Ambajipeta,East Godavari,ANDHRA PRADESH,1
Ambala,Ambala,HARYANA,2
Ambalappuzha,Alappuzha,KERALA,2
Ambegaon,Pune,MAHARASHTRA,1
Ambejogai,Bid,MAHARASHTRA,1
Amguri,Sivasagar,ASSAM,1
Amravati,Amravati,MAHARASHTRA,2
Amritsar- II,Amritsar,PUNJAB,1
Anakapalle,Visakhapatnam,ANDHRA PRADESH,1
Anand,Anand,GUJARAT,4
Anantnag,Anantnag,JAMMU & KASHMIR,2
Anekal,Bangalore,KARNATAKA,4
Anini,Dibang Valley,ARUNACHAL PRADESH,1
Anjangaon Surji,Amravati,MAHARASHTRA,2
Anjar,Kachchh,GUJARAT,2
Anklesvar,Bharuch,GUJARAT,1
Araria,Araria,BIHAR,1
Ardhapur,Nanded,MAHARASHTRA,1
Aron,Guna,MADHYA PRADESH,1
Arrah,Bhojpur,BIHAR,1
Arwal,Arwal,BIHAR,1
Asansol Kulti Township,Paschim Bardhaman,WEST BENGAL,1
Asind,Bhilwara,RAJASTHAN,1
