sdtname,dtname,stname,number_of_cell_towers
Ashti,Bid,MAHARASHTRA,14
Asifabad,Kumuram Bheem Asifabad,TELANGANA,1
Asifnagar,Hyderabad,TELANGANA,319
Asind,Bhilwara,RAJASTHAN,3
Aspari,Kurnool,ANDHRA PRADESH,24
Assandh,Karnal,HARYANA,12
Astaranga,Puri,ODISHA,1
Asthawan,Nalanda,BIHAR,2
Aswapuram,Bhadradri Kothagudem,TELANGANA,1
Atarra,Banda,UTTAR PRADESH,2
Athagad,Cuttack,ODISHA,14
Athmalgola,Patna,BIHAR,25
Athni,Belagavi,KARNATAKA,6
Atmakur,Kurnool,ANDHRA PRADESH,1
Atmakur,Mahbubnagar,TELANGANA,1
Atmakur,Sri Potti Sriramulu Nellore,ANDHRA PRADESH,2
Atmakur,Warangal,TELANGANA,2
Atreyapuram,East Godavari,ANDHRA PRADESH,17
Atru,Baran,RAJASTHAN,17
Attabira,Bargarh,ODISHA,21
Attili,West Godavari,ANDHRA PRADESH,15
Attur,Dindigul,TAMILNADU,32
Attur,Salem,TAMILNADU,25
Aundha (Nagnath),Hingoli,MAHARASHTRA,71
Auraiya,Auraiya,UTTAR PRADESH,123
Aurangabad,Aurangabad,BIHAR,15
Aurangabad,Aurangabad,MAHARASHTRA,674
Ausa,Latur,MAHARASHTRA,43
Ausgram - I,Purba Bardhaman,WEST BENGAL,14
Ausgram - II,Purba Bardhaman,WEST BENGAL,18
Aut,Mandi,HIMACHAL PRADESH,80
Avanashi,Tiruppur,TAMILNADU,113
Awantipora,Pulwama,JAMMU & KASHMIR,9
Azamgarh,Azamgarh,UTTAR PRADESH,62
Azamnagar,Katihar,BIHAR,37
Azara,Kamrup Metropolitan,ASSAM,505
B.Kothakota,Chittoor,ANDHRA PRADESH,40
BHANJANAGAR,Ganjam,ODISHA,9
BRAHMAPUR SADAR,Ganjam,ODISHA,2
Baba Bakala,Amritsar,PUNJAB,67
Babai,Hoshangabad,MADHYA PRADESH,1
Babra,Amreli,GUJARAT,18
Bachhwara,Begusarai,BIHAR,5
Badachana,Jajapur,ODISHA,26
Badami,Bagalkote,KARNATAKA,8
Badarpur,Karimganj,ASSAM,3
Badarwas,Shivpuri,MADHYA PRADESH,8
Baddi,Solan,HIMACHAL PRADESH,28
Badlapur,Jaunpur,UTTAR PRADESH,2
Badnagar,Ujjain,MADHYA PRADESH,14
Badnapur,Jalna,MAHARASHTRA,41
Badnawar,Dhar,MADHYA PRADESH,17
Badwara,Katni,MADHYA PRADESH,3
Bagalkot,Bagalkote,KARNATAKA,42
Baganpara (Pt),Baksa,ASSAM,2
Bagasara,Amreli,GUJARAT,36
Bagbahra,Mahasamund,CHATTISGARH,7
Bagepalli,Chikkaballapura,KARNATAKA,32
Bagha Purana,Moga,PUNJAB,3
Baghmara-Cum-Katras,Dhanbad,JHARKHAND,70
Baghpat,Baghpat,UTTAR PRADESH,33
Bagli,Dewas,MADHYA PRADESH,14
Bagmundi,Puruliya,WEST BENGAL,2
Bagnan - I,Haora,WEST BENGAL,8
Bagnan - II,Haora,WEST BENGAL,13
Bagodar,Giridih,JHARKHAND,2
Bahadurgarh,Jhajjar,HARYANA,210
Bahadurpur,Darbhanga,BIHAR,11
Baheri,Bareilly,UTTAR PRADESH,2
Baheri,Darbhanga,BIHAR,1
Bahour Taluk,Puducherry,PUDUCHERRY,1
Bahraich,Bahraich,UTTAR PRADESH,5
Baijnath,Kangra,HIMACHAL PRADESH,5
Baikunthpur,Koriya,CHATTISGARH,2
Bairia,Ballia,UTTAR PRADESH,5
Baisi,Purnia,BIHAR,1
Baisinga,Mayurbhanj,ODISHA,2
Bajali (Pt),Barpeta,ASSAM,8
Bajpur,Udham Singh Nagar,UTTARAKHAND,6
Bakhtiarpur,Patna,BIHAR,66
Bakshi Ka Talab,Lucknow,UTTAR PRADESH,41
Balachaur,Shahid Bhagat Singh Nagar,PUNJAB,104
Balagarh,Hugli,WEST BENGAL,135
Balaghat,Balaghat,MADHYA PRADESH,31
Balanagar,Mahbubnagar,TELANGANA,104
Balanagar,Rangareddy,TELANGANA,1838
Balangir,Balangir,ODISHA,202
Balapur,Akola,MAHARASHTRA,2
Balarampur,Puruliya,WEST BENGAL,30
Balayapalle,Sri Potti Sriramulu Nellore,ANDHRA PRADESH,1
Baleshwar (M),Baleshwar,ODISHA,45
Baleshwar Sadar,Baleshwar,ODISHA,7
Bali,Pali,RAJASTHAN,17
Bali Chowki,Mandi,HIMACHAL PRADESH,4
Balia,Begusarai,BIHAR,2
Baliapur,Dhanbad,JHARKHAND,25
Balijana,Goalpara,ASSAM,10
Balkonda,Nizamabad,TELANGANA,3
Ballabgarh,Faridabad,HARYANA,32
Ballarpur,Chandrapur,MAHARASHTRA,45
Ballia,Ballia,UTTAR PRADESH,9
Ballikurava,Prakasam,ANDHRA PRADESH,9
Bally Jagachha,Haora,WEST BENGAL,160
Balmoor,Mahbubnagar,TELANGANA,1
Balod,Balod,CHATTISGARH,2
Baloda,Janjgir - Champa,CHATTISGARH,1
Balrampur,Balrampur,UTTAR PRADESH,21
Balrampur,Katihar,BIHAR,44
Balugaon,Khordha,ODISHA,5
Balumath,Latehar,JHARKHAND,1
Balurghat,Dakshin Dinajpur,WEST BENGAL,92
Bamanwas,Sawai Madhopur,RAJASTHAN,3
Bampada,Baleshwar,ODISHA,10
Banda,Banda,UTTAR PRADESH,11
Banda,Sagar,MADHYA PRADESH,6
Bandhogarh,Umaria,MADHYA PRADESH,6
Bandi Atmakur,Kurnool,ANDHRA PRADESH,3
Bandipora,Bandipore,JAMMU & KASHMIR,7
Bandlaguda,Hyderabad,TELANGANA,200
Banei,Sundargarh,ODISHA,4
Banera,Bhilwara,RAJASTHAN,3
Bangalore East,Bangalore,KARNATAKA,10103
Bangalore North,Bangalore,KARNATAKA,19256
Bangalore South,Bangalore,KARNATAKA,13411
Bangana,Una,HIMACHAL PRADESH,9
Bangarapet,Kolar,KARNATAKA,230
Bangarupalem,Chittoor,ANDHRA PRADESH,79
Bangomunda,Balangir,ODISHA,69
Bani,Kathua,JAMMU & KASHMIR,3
Banjaria,Purba Champaran,BIHAR,7
Banka,Banka,BIHAR,17
Banke Bazar,Gaya,BIHAR,2
Banki,Cuttack,ODISHA,10
Bankura - I,Bankura,WEST BENGAL,12
Banmankhi,Purnia,BIHAR,3
Bansada,Bhadrak,ODISHA,2
Bansda,Navsari,GUJARAT,6
Bansdih,Ballia,UTTAR PRADESH,4
Bansi,Siddharthnagar,UTTAR PRADESH,12
Bansihari,Dakshin Dinajpur,WEST BENGAL,33
Banswada,Nizamabad,TELANGANA,151
Banswara,Banswara,RAJASTHAN,28
Bantumilli,Krishna,ANDHRA PRADESH,1
Bantval,Dakshina Kannada,KARNATAKA,138
Bapatla,Guntur,ANDHRA PRADESH,105
Bapulapadu,Krishna,ANDHRA PRADESH,73
Bara,Prayagraj,UTTAR PRADESH,1
Barabani,Paschim Bardhaman,WEST BENGAL,1
Baragaon,Sundargarh,ODISHA,1
Barahat,Banka,BIHAR,1
Barahiya,Lakhisarai,BIHAR,18
Baramati,Pune,MAHARASHTRA,25
Baran,Baran,RAJASTHAN,2
Barang,Cuttack,ODISHA,54
Barapali,Bargarh,ODISHA,39
Barara,Ambala,HARYANA,122
Barari,Katihar,BIHAR,30
Barasat - I,North Twenty Four Parganas,WEST BENGAL,153
Barasat - II,North Twenty Four Parganas,WEST BENGAL,117
Barauni,Begusarai,BIHAR,6
Baraut,Baghpat,UTTAR PRADESH,10
Barbhag,Nalbari,ASSAM,20
Barbigha,Sheikhpura,BIHAR,2
Barbil,Kendujhar,ODISHA,10
Bardez,North Goa,GOA,833
Bardoli,Surat,GUJARAT,63
Bareilly,Bareilly,UTTAR PRADESH,247
Bargarh,Bargarh,ODISHA,57
Bargarh Sadar,Bargarh,ODISHA,27
Barh,Patna,BIHAR,42
Barhaj,Deoria,UTTAR PRADESH,21
Barhampur,Buxar,BIHAR,1
Barhara,Bhojpur,BIHAR,1
Barharwa,Sahibganj,JHARKHAND,14
Barhat,Jamui,BIHAR,4
Barhi,Hazaribagh,JHARKHAND,4
Bari,Dhaulpur,RAJASTHAN,1
Baripada (M),Mayurbhanj,ODISHA,1
Baripada Sadar,Mayurbhanj,ODISHA,1
Baripada Town,Mayurbhanj,ODISHA,13
Barjora,Bankura,WEST BENGAL,7
Barkagaon,Hazaribagh,JHARKHAND,1
Barkatha,Hazaribagh,JHARKHAND,3
Barkot,Debagarh,ODISHA,3
Barnagar (Pt),Baksa,ASSAM,3
Barnala,Barnala,PUNJAB,4
Baroh,Kangra,HIMACHAL PRADESH,18
Barrackpur - I,North Twenty Four Parganas,WEST BENGAL,451
Barrackpur - II,North Twenty Four Parganas,WEST BENGAL,1554
Barsahi,Mayurbhanj,ODISHA,4
Barsar,Hamirpur,HIMACHAL PRADESH,1
Barshi,Solapur,MAHARASHTRA,1
Barsoi,Katihar,BIHAR,55
Baruipur,South Twenty Four Parganas,WEST BENGAL,118
Barun,Aurangabad,BIHAR,12
Baruraj (Motipur),Muzaffarpur,BIHAR,3
Barwaha,West Nimar,MADHYA PRADESH,32
Barwala,Botad,GUJARAT,11
Barwani,Barwani,MADHYA PRADESH,7
Basanti,South Twenty Four Parganas,WEST BENGAL,2
Basantpur,Siwan,BIHAR,3
Basavakalyan,Bidar,KARNATAKA,8
Basavana Bagevadi,Vijayapura,KARNATAKA,12
Baseri,Dhaulpur,RAJASTHAN,8
Basheerabad,Rangareddy,TELANGANA,1
Bashohli,Kathua,JAMMU & KASHMIR,33
Basirhat - I,North Twenty Four Parganas,WEST BENGAL,13
Basirhat - II,North Twenty Four Parganas,WEST BENGAL,17
Basmath,Hingoli,MAHARASHTRA,21
Basna,Mahasamund,CHATTISGARH,6
Basoda,Vidisha,MADHYA PRADESH,52
Bassi,Jaipur,RAJASTHAN,83
Bassi Pathana,Fatehgarh Sahib,PUNJAB,17
Basta,Baleshwar,ODISHA,1
Bastar,Bastar,CHATTISGARH,2
Basti,Basti,UTTAR PRADESH,86
Baswa,Dausa,RAJASTHAN,19
Batala,Gurdaspur,PUNJAB,62
Bathalapalle,Anantapur,ANDHRA PRADESH,4
Bathinda,Bathinda,PUNJAB,168
Baudh Sadar,Baudh,ODISHA,2
Bavda,Kolhapur,MAHARASHTRA,32
Bavla,Ahmadabad,GUJARAT,149
Bawal,Rewari,HARYANA,79
Bawani Khera,Bhiwani,HARYANA,2
Bayana,Bharatpur,RAJASTHAN,5
Bayyaram,Khammam,TELANGANA,17
Beawar,Ajmer,RAJASTHAN,35
Becharaji,Mahesana,GUJARAT,6
Begamganj,Raisen,MADHYA PRADESH,13
Begusarai,Begusarai,BIHAR,25
Behat,Saharanpur,UTTAR PRADESH,19
Behea,Bhojpur,BIHAR,8
Behror,Alwar,RAJASTHAN,159
Bejjanki,Karimnagar,TELANGANA,1
Belaganj,Gaya,BIHAR,1
Beldanga - I,Murshidabad,WEST BENGAL,9
Beldanga - II,Murshidabad,WEST BENGAL,1
Belgaum,Belagavi,KARNATAKA,380
Bellamkonda,Guntur,ANDHRA PRADESH,3
Bellampalle,Adilabad,TELANGANA,31
Bellary,Ballari,KARNATAKA,147
Belpahar,Jharsuguda,ODISHA,15
Belpara,Balangir,ODISHA,149
Beltangadi,Dakshina Kannada,KARNATAKA,3
Belthara Road,Ballia,UTTAR PRADESH,30
Belur,Hassan,KARNATAKA,45
Bemetara,Bametara,CHATTISGARH,8
Bengtol,Bongaigaon,ASSAM,4
Bengtol,Chirang,ASSAM,2
Berhampore,Murshidabad,WEST BENGAL,108
Beri,Jhajjar,HARYANA,17
Berla,Bametara,CHATTISGARH,4
Bermo,Bokaro,JHARKHAND,22
Bero,Ranchi,JHARKHAND,12
Bestawaripeta,Prakasam,ANDHRA PRADESH,10
Betanati,Mayurbhanj,ODISHA,9
Betasing,South West Garo Hills,MEGHALAYA,1
Bettiah,Pashchim Champaran,BIHAR,33
Betul,Betul,MADHYA PRADESH,48
Bhabhar,Banas Kantha,GUJARAT,14
Bhachau,Kachchh,GUJARAT,22
Bhaderwah,Doda,JAMMU & KASHMIR,2
Bhadgaon,Jalgaon,MAHARASHTRA,19
Bhadra,Hanumangarh,RAJASTHAN,4
Bhadrak Rural,Bhadrak,ODISHA,19
Bhadravati,Chandrapur,MAHARASHTRA,184
Bhadravati,Shivamogga,KARNATAKA,69
Bhagawangola - I,Murshidabad,WEST BENGAL,9
Bhagawanpur - II,Purba Medinipur,WEST BENGAL,1
Bhagwanpur,Begusarai,BIHAR,3
Bhagwanpur,Vaishali,BIHAR,19
Bhagwanpur Hat,Siwan,BIHAR,3
Bhainsa,Adilabad,TELANGANA,25
Bhainsdehi,Betul,MADHYA PRADESH,1
Bhalai,Chamba,HIMACHAL PRADESH,1
Bhalki,Bidar,KARNATAKA,9
Bhandara,Bhandara,MAHARASHTRA,31
Bhandari Pokhari,Bhadrak,ODISHA,1
Bhangar - I,South Twenty Four Parganas,WEST BENGAL,8
Bhangar - II,South Twenty Four Parganas,WEST BENGAL,24
Bhanpur,Basti,UTTAR PRADESH,5
Bhanpura,Mandsaur,MADHYA PRADESH,4
Bharari,Bilaspur,HIMACHAL PRADESH,1
Bharatpur,Bharatpur,RAJASTHAN,150
Bharthana,Etawah,UTTAR PRADESH,104
Bharuch,Bharuch,GUJARAT,579
Bharwain,Una,HIMACHAL PRADESH,2
Bhatapara,Baloda Bazar,CHATTISGARH,26
Bhatar,Purba Bardhaman,WEST BENGAL,6
Bhatkal,Uttara Kannada,KARNATAKA,52
Bhatpar Rani,Deoria,UTTAR PRADESH,34
Bhattiyat,Chamba,HIMACHAL PRADESH,2
Bhavani,Erode,TAMILNADU,10
Bhavnagar,Bhavnagar,GUJARAT,173
Bhawanipur,Purnia,BIHAR,1
Bheden,Bargarh,ODISHA,2
Bheemgal,Nizamabad,TELANGANA,4
Bheemunipatnam,Visakhapatnam,ANDHRA PRADESH,116
Bhikangaon,West Nimar,MADHYA PRADESH,7
Bhiknoor,Nizamabad,TELANGANA,145
Bhiloda,Aravalli,GUJARAT,3
Bhilwara,Bhilwara,RAJASTHAN,189
Bhim,Rajsamand,RAJASTHAN,4
Bhimadole,West Godavari,ANDHRA PRADESH,56
Bhimavaram,West Godavari,ANDHRA PRADESH,93
Bhind,Bhind,MADHYA PRADESH,28
Bhinmal,Jalor,RAJASTHAN,5
Bhiti,Ambedkar Nagar,UTTAR PRADESH,1
Bhiwandi,Thane,MAHARASHTRA,802
Bhiwani,Bhiwani,HARYANA,27
Bhogaon,Mainpuri,UTTAR PRADESH,2
Bhogapuram,Vizianagaram,ANDHRA PRADESH,17
Bhognipur,Kanpur Dehat,UTTAR PRADESH,56
Bhokardan,Jalna,MAHARASHTRA,1
Bhongir,Yadadri Bhuvanagiri,TELANGANA,197
Bhoothpur,Mahbubnagar,TELANGANA,36
Bhopalgarh,Jodhpur,RAJASTHAN,3
Bhor,Pune,MAHARASHTRA,273
Bhoranj,Hamirpur,HIMACHAL PRADESH,5
Bhubaneswar (M.Corp.),Khordha,ODISHA,975
Bhuj,Kachchh,GUJARAT,123
Bhulath,Kapurthala,PUNJAB,26
Bhum,Osmanabad,MAHARASHTRA,13
Bhuragaon,Morigaon,ASSAM,3
Bhusan Steel Limited,Dhenkanal,ODISHA,1
Bhusawal,Jalgaon,MAHARASHTRA,68
Bibhutpur,Samastipur,BIHAR,4
Bibinagar,Yadadri Bhuvanagiri,TELANGANA,66
Biccavolu,East Godavari,ANDHRA PRADESH,13
Bichhua,Chhindwara,MADHYA PRADESH,1
Bichkunda,Nizamabad,TELANGANA,130
Bicholim,North Goa,GOA,34
Bid,Bid,MAHARASHTRA,54
Bidar,Bidar,KARNATAKA,79
Bidhuna,Auraiya,UTTAR PRADESH,50
Bidupur,Vaishali,BIHAR,76
Bighapur,Unnao,UTTAR PRADESH,1
Bihar,Nalanda,BIHAR,12
Bihpur,Bhagalpur,BIHAR,14
Bihta,Patna,BIHAR,39
Bijapur,Vijayapura,KARNATAKA,52
Bijawar,Chhatarpur,MADHYA PRADESH,3
Bijinapalle,Mahbubnagar,TELANGANA,3
Bijni (Pt),Kamrup,ASSAM,5
Bijnor,Bijnor,UTTAR PRADESH,35
Bikaner,Bikaner,RAJASTHAN,175
Bikram,Patna,BIHAR,3
Bilara,Jodhpur,RAJASTHAN,16
Bilari,Moradabad,UTTAR PRADESH,20
Bilaspur,Bilaspur,CHATTISGARH,223
Bilaspur,Rampur,UTTAR PRADESH,51
Bilaspur,Yamunanagar,HARYANA,16
Bilaspur Sadar,Bilaspur,HIMACHAL PRADESH,213
Bilgi,Bagalkote,KARNATAKA,4
Bilgram,Hardoi,UTTAR PRADESH,46
Bilha,Bilaspur,CHATTISGARH,69
Bilhaur,Kanpur Nagar,UTTAR PRADESH,37
Billawar,Kathua,JAMMU & KASHMIR,168
Bina,Sagar,MADHYA PRADESH,53
Bindki,Fatehpur,UTTAR PRADESH,358
Binpur - I,Jhargram,WEST BENGAL,9
Binpur - II,Jhargram,WEST BENGAL,2
Biramitrapur,Sundargarh,ODISHA,11
Birkoor,Nizamabad,TELANGANA,19
Birsinghpur,Satna,MADHYA PRADESH,12
Bisauli,Budaun,UTTAR PRADESH,14
Bishalgarh,Sipahijala,TRIPURA,4
Bishnupur - I,South Twenty Four Parganas,WEST BENGAL,22
Bishnupur - II,South Twenty Four Parganas,WEST BENGAL,8
Bisra,Sundargarh,ODISHA,17
Biswan,Sitapur,UTTAR PRADESH,53
Biswanath,Sonitpur,ASSAM,4
Boarijor,Godda,JHARKHAND,1
Bobbili,Vizianagaram,ANDHRA PRADESH,4
Bochaha,Muzaffarpur,BIHAR,5
Bodh Gaya,Gaya,BIHAR,27
Bodhan,Nizamabad,TELANGANA,14
Bodinayakanur,Theni,TAMILNADU,30
Bodla,Kabeerdham,CHATTISGARH,2
Bogole,Sri Potti Sriramulu Nellore,ANDHRA PRADESH,16
Boipariguda,Koraput,ODISHA,38
Boitamari,Bongaigaon,ASSAM,19
Boko,Kamrup,ASSAM,141
Boleng,Siang,ARUNACHAL PRADESH,1
Bolpur Sriniketan,Birbhum,WEST BENGAL,29
Bommalaramaram,Yadadri Bhuvanagiri,TELANGANA,4
Bonakal,Khammam,TELANGANA,2
Bondamunda,Sundargarh,ODISHA,2
Bondapalle,Vizianagaram,ANDHRA PRADESH,9
Bongaigaon (Pt),Bongaigaon,ASSAM,1
Bongaon,North Twenty Four Parganas,WEST BENGAL,26
Bonli,Sawai Madhopur,RAJASTHAN,5
Boram,Purbi Singhbhum,JHARKHAND,7
Borio,Sahibganj,JHARKHAND,1
Borsad,Anand,GUJARAT,24
Botad,Botad,GUJARAT,10
Brahmagiri,Puri,ODISHA,3
Brahmani Tarang,Sundargarh,ODISHA,13
Brahmapur (M.Corp.),Ganjam,ODISHA,106
Brahmapuri,Chandrapur,MAHARASHTRA,10
Buchinaidu Kandriga,Chittoor,ANDHRA PRADESH,8
Buchireddipalem,Sri Potti Sriramulu Nellore,ANDHRA PRADESH,5
Budgam,Badgam,JAMMU & KASHMIR,20
Budge Budge - I,South Twenty Four Parganas,WEST BENGAL,14
Budge Budge - II,South Twenty Four Parganas,WEST BENGAL,24
Budhana,Muzaffarnagar,UTTAR PRADESH,4
Budhlada,Mansa,PUNJAB,5
Budni,Sehore,MADHYA PRADESH,4
Buhana,Jhunjhunun,RAJASTHAN,1
Bukkaraya Samudram,Anantapur,ANDHRA PRADESH,19
Bulandshahr,Bulandshahr,UTTAR PRADESH,74
Buldana,Buldana,MAHARASHTRA,6
Bundi,Bundi,RAJASTHAN,14
BurdenP.S.,Bargarh,ODISHA,8
Burdwan - I,Purba Bardhaman,WEST BENGAL,222
Burdwan - II,Purba Bardhaman,WEST BENGAL,431
Burgampahad,Bhadradri Kothagudem,TELANGANA,74
Burhanpur,Azamgarh,UTTAR PRADESH,32
Burhanpur,Burhanpur,MADHYA PRADESH,31
Burja,Srikakulam,ANDHRA PRADESH,4
Burla,Sambalpur,ODISHA,59
Burmu,Ranchi,JHARKHAND,2
Burwan,Murshidabad,WEST BENGAL,1
Buxar,Buxar,BIHAR,22
Buxwaha,Chhatarpur,MADHYA PRADESH,1
Byadgi,Haveri,KARNATAKA,24
C.Belagal,Kurnool,ANDHRA PRADESH,1
C.R.R.I.,Cuttack,ODISHA,1
CHAMAKHANDI,Ganjam,ODISHA,4
CHHATRAPUR,Ganjam,ODISHA,3
Campierganj,Gorakhpur,UTTAR PRADESH,5
Canacona,South Goa,GOA,71
Canning - I,South Twenty Four Parganas,WEST BENGAL,13
Chabua,Dibrugarh,ASSAM,26
Chachyot,Mandi,HIMACHAL PRADESH,4
Chadoora,Badgam,JAMMU & KASHMIR,8
Chagalamarri,Kurnool,ANDHRA PRADESH,5
Chagallu,West Godavari,ANDHRA PRADESH,18
Chaibasa,Pashchimi Singhbhum,JHARKHAND,16
Chail,Kaushambi,UTTAR PRADESH,43
Chainpur,Palamu,JHARKHAND,1
Chakdah,Nadia,WEST BENGAL,314
Chakradharpur,Pashchimi Singhbhum,JHARKHAND,1
Chaksu,Jaipur,RAJASTHAN,10
Chakulia,Purbi Singhbhum,JHARKHAND,6
Chakur,Latur,MAHARASHTRA,52
Chalisgaon,Jalgaon,MAHARASHTRA,86
Chalkusa,Hazaribagh,JHARKHAND,14
Challakere,Chitradurga,KARNATAKA,2
Challapalle,Krishna,ANDHRA PRADESH,1
